label,m,k_star_1idx,L,g_loop_at_kstar,min_prefix_cost_congruence_only,margin_ok,floor_holds,one_point_tight,replay_ok,argmin_a_seq
golden-per8,33,33,13,13,11,True,False,False,True,"2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2,2"
golden-per8,34,34,13,13,11,True,False,False,True,"2,2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2,2"
golden-per8,35,35,14,14,12,True,False,False,True,"2,2,2,4,3,2,1,1,4,2,2,1,6,1,1,1,2,2,2,1,2,1,2,4,1,2,1,1,2,2,1,1,1,2,2"
sqrt2-per12,4,4,3,3,3,True,True,True,True,"2,2,2,2"
sqrt2-per12,5,5,3,3,3,True,True,True,True,"2,2,2,2,2"
sqrt2-per12,6,6,4,4,4,True,True,True,True,"2,2,2,2,2,2"
sqrt2-per12,7,7,5,5,5,True,True,True,True,"2,2,2,2,2,2,2"
sqrt2-per12,8,8,5,5,5,True,True,True,True,"2,2,2,2,2,2,2,2"
sqrt2-per12,9,9,6,6,6,True,True,True,True,"2,2,2,2,2,2,2,2,2"
sqrt2-per12,10,10,6,6,6,True,True,True,True,"2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,11,11,7,7,7,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,12,12,7,7,7,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,13,13,8,8,8,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,16,16,10,10,10,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,20,20,12,12,12,True,True,True,True,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2"
sqrt2-per12,24,24,14,14,13,True,False,False,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,1"
sqrt2-per12,28,28,17,17,14,True,False,False,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1"
sqrt2-per12,29,29,17,17,13,True,False,False,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2"
sqrt2-per12,30,30,18,18,14,True,False,False,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2"
sqrt2-per12,31,31,19,19,14,True,False,False,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1"
sqrt2-per12,32,32,19,19,13,True,False,False,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2"
sqrt2-per12,33,33,20,20,14,True,False,False,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2"
sqrt2-per12,34,34,20,20,13,True,False,False,True,"4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2"
sqrt2-per12,35,35,21,21,14,True,False,False,True,"2,4,5,1,1,3,4,2,2,4,1,1,1,3,1,1,1,1,1,2,1,2,1,1,3,2,1,1,1,2,1,1,2,1,2"
